id,participation,category,institution,orientation principles to mitigation post 2020,impacts on economy,modality to mitigation contribution,contribution time horizon,comments,contribution to adaptation targets,attention to adaptation climate change,regarding means of implementation,sources of financing to implemention targets,international financing,"comments on implementation means
	 ","criteria, assumptions and general principals to Brazillian position as premissas e os princípios gerais que devem orientar a contribuição do Brasil ao novo acordo.

	 "
1,Individual,setor publico,,"O esforço de mitigação brasileiro já é substancial, o Brasil cumpriu sua parte com o compromisso voluntário até 2020. Reduções adicionais apresentarão custos marginais muito elevados.",Não é aceitável que ações de mitigação levem à redução na atividade econômica.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",,,,,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil ainda tem grandes desafios de desenvolvimento econômico e social e não pode direcionar recursos próprios para o combate à mudança do clima. Depende, portanto, de aportes internacionais para implementar sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,
3,Individual,setor publico,,"O esforço de mitigação brasileiro já é substancial, o Brasil cumpriu sua parte com o compromisso voluntário até 2020. Reduções adicionais apresentarão custos marginais muito elevados.",Não é aceitável que ações de mitigação levem à redução na atividade econômica.,"Redução ou limitação de emissões para o conjunto da economia, em relação a uma projeção das emissões futuras. Isto é, o total de emissões em toneladas de CO2eq  em comparação a uma projeção de emissões na ausência de medidas de mitigação (também referido como desvio na curva de emissões ""business as usual"").",Até 2030,,"Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.",Eventual compromisso de apoio do Brasil a outros países em desenvolvimento deve ser condicionado ao apoio efetivamente prestado por países desenvolvidos.,,"A contribuição brasileira para a mitigação da mudança global do clima até o ano de 2020, deve ser devidamente reconhecida pela UNFCCC e recompensada. O não reconhecimento dos esforços nacionais de mitigação no setor de LULUCF até 2020 pode implicar em sérias consequências financeiras para o país, possivelmente afetando o seu potencial de desenvolvimento e até mesmo a área comercial se áreas como agricultura por exemplo forem incluídas em eventuais metas internacionais. O Brasil já fez mais do que todos os países desenvolvidos, precisamos melhorar a nossa comunicação para que isso fique mais evidente. "
5,Representante de organização ou instituição,terceiro setor,Observatório do Clima,Nenhuma das anteriores (justifique ao final do bloco).,Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,"Redução ou limitação de emissões para o conjunto da economia, em relação a um ano de referência. Isto é, o total de emissões em toneladas de CO2eq em comparação a um ano anterior.",Múltiplos períodos,"Esforço atual. É fato que o Brasil reduziu suas emissões de gases de efeito estufa de forma significativa nos últimos anos, principalmente em decorrência da redução de emissões associadas ao desmatamento da Amazônia. No entanto, apesar de muito inferior a taxas de anos anteriores, a perda de área de florestas nativas ainda é significativa e o país é um dos maiores emissores de gases de efeito estufa por mudanças de uso do solo. Além disso, o país possui como um dos objetivos de seu Plano Nacional sobre Mudança do Clima a eliminação da perda líquida da área de cobertura florestal, objetivo este que, de acordo com o Plano Nacional, deveria ser atingido em 2015. E as emissões de todos os demais setores (energia, agropecuária, processos industriais e resíduos) vêm aumentando ao longo do tempo. Há, portanto, espaço para a redução de emissões em todos os setores de nossa economia, o que deve se refletir na definição de uma Contribuição Nacionalmente Designada ambiciosa para o Brasil para o pós-2020.

Possíveis impactos da adoção de medidas de mitigação. Os efeitos positivos para o clima do planeta, os benefícios para o aumento da eficiência de diferentes setores de nossa economia, a geração de empregos relacionados a tecnologias limpas, e a economia gerada pela redução dos impactos que poderiam ser provocados pelas mudanças climáticas, em decorrência da inação, serão muito superiores, ao longo do tempo, do que o custo de se investir nas ações de mitigação. E há algumas opções de mitigação que podem ter custo de abatimento negativo.

Modalidade. A mensagem do IPCC em seu 5o. Relatório de Avaliação é taxativa – ainda é possível atingir o objetivo de limitação do aquecimento global a 2 graus Celsius. Mas para isso é necessário que haja um grande esforço de mitigação coletivo e coordenado entre as nações. As emissões globais precisam atingir seu pico máximo nos próximos anos. E em seguida seguir um caminho de reduções progressivas acelerado para viabilizar as ações necessárias a tempo de se evitar que o aquecimento global ultrapasse os dois graus. É necessário, portanto, que os países se comprometam com metas de redução ou limitação de emissões para o conjunto da economia que sejam quantificáveis em termos absolutos, em termos de total de emissões em toneladas de CO2eq. Ações ou políticas setoriais devem ser o meio para se atingir as metas absolutas, e podem dar sustentação à meta, e devem ser incluídas no detalhamento e registro das “Contribuições Nacionalmente Determinadas” junto à UNFCCC.

Período ou duração da Contribuição Nacionalmente Designada. A negociação de metas para um período de 5 anos pressupõe que uma nova negociação ocorra, talvez começando antes mesmo do início da vigência daquele período de compromisso, sobre as metas futuras, o que pode resultar em atrasos e lacunas temporais importantes. Por outro lado, um período de compromisso de 10 anos é muito longo para que se possa cobrar ações e resultados ações dos países logo no início do mesmo (o que é fundamental para que se possa progredir rapidamente em âmbito mundial em redução de emissões de gases de efeito estufa. O Observatório do Clima considera ser o melhor caminho o da definição de períodos de compromisso de 10 anos, sendo o primeiro período de 1o de janeiro de 2021 a 31 de dezembro de 2030, e recomenda que se defina uma meta de redução de emissões ou limite de emissões para 2030 e uma meta intermediária para 2025, com mecanismo que permita a revisão destas metas à luz da ciência mais recente, como novos resultados do trabalho do IPCC, sejam novos relatórios de avaliação ou de análises específicas (setoriais, regionais etc.), para que se assegure a manutenção da trajetória das emissões globais dentro do limite dos 2 graus Celsius.",,,Nenhuma das anteriores (justifique ao final do bloco).,,,,
6,Individual,academia,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2025,,"Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",,As ações de combate à mudança do clima dos países em desenvolvimento devem ser condicionadas ao acesso a recursos financeiros e transferência de tecnologia de países desenvolvidos. Ações de combate à mudança do clima estão subordinadas à prioridade de desenvolvimento econômico e social e de erradicação da pobreza.,"O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.",Eventual compromisso de apoio do Brasil a outros países em desenvolvimento deve ser condicionado ao apoio efetivamente prestado por países desenvolvidos.,,
9,Individual,setor publico,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2030,,,,,,,,
13,Individual,setor publico,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Redução ou limitação de emissões ""per capita"". Isto é, a relação entre o total de emissões em toneladas de CO2eq  e a população do país.",Nenhuma das anteriores (justifique ao final do bloco).,"O horizonte temporal estará invariavelmente condicionado à quantificação da redução de emissões. Se for setorial, acredito que investimentos em modificações estruturais são de difícil execução e tem prazo de maturação maior, nesse sentido acredito que devem ser aplicados múltiplos períodos em acordo com a modalidade quantificadora e tempo de execução das ações.","Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.","Planos de adaptação podem ser diversos, todavia, levando-se em conta que o clima e mesmo a adaptação afetam situações geográficas transnacionais, como p. ex., a contenção de um rio que passa por muitos países a fim de se criar reservatórios contra possíveis períodos estendidos de seca, ou mesmo, ações mais drásticas de engenharia climática, há que se ter em mente a magnitude da ação de adaptação que deseja-se levar a cabo. Nesse sentido, há que se buscar boas práticas relativas à remoção de populações e risco em faixas litorâneas ou afetadas por eventos climáticos extremos, além de protocolos de cooperação em casos de migração em massa, como vem ocorrendo entre Brasil e Haiti. Não se pode desprezar o fato de que a humanidade tem que considerar, pelo princípio da prevenção, a possibilidade de deslocamentos de populações inteiras de regiões insulares e litorâneas, ou transformadas em desertos, para outras áreas já habitadas de cultura e geografia diversas.","Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,
16,Individual,setor empresarial,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.",Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2050,,Monitoramento dos impactos observados em nível nacional e local,,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve concentrar seus recursos na implementação de sua contribuição nacional, sem assumir obrigações de apoio a outros países em desenvolvimento.",,
20,Individual,setor publico,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Até 2050,,Monitoramento dos impactos observados em nível nacional e local,,"Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,
21,Individual,terceiro setor,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,"Redução ou limitação de emissões para o conjunto da economia, em relação a um ano de referência. Isto é, o total de emissões em toneladas de CO2eq em comparação a um ano anterior.",Múltiplos períodos,,,,"Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento suficiente para implementar sua contribuição nacional com recursos próprios, e poderá abrir mão de financiamento internacional para esse fim.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,"Acredito que o Brasil possua uma responsabilidade histórica diferenciada em relação aos países Anexo-I. Entretanto, é hora de mudar o discurso e assumir sua própria capacidade de reduzir emissões, implementar atividades de mitigação e adaptação e ser mais proativo do que aguardar o posicionamento dos demais países. Com relação a fontes de recurso internacional, novamente, compreendo que ajudas internacionais seriam muito bem vindas, entretanto, há centenas de outros países que necessitam mais que o Brasil destes apoios. 
O Brasil precisa unificar o discurso internacional com as políticas internas. Enquanto assume metas de redução de emissão e de redução do desmatamento, tem um plano de construir dezenas de hidrelétricas na Amazonia, explorar o pré-sal.. 
O Brasil tem um enorme potencial de se destacar economicamente se passar a adotar as bases de uma economia de baixo carbono, desenvolvimento de uma agricultura mais eficiente e sustentável e olhar para a floresta como uma oportunidade e não um entrave. 
Deve impulsionar um acordo global ambicioso, por meio da adoção de metas ambiciosas também. "
22,Individual,academia,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os potenciais impactos da falta de ação global superam eventuais perdas econômicas.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Múltiplos períodos,,Objetivos nacionais específicos.,,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve concentrar seus recursos na implementação de sua contribuição nacional, sem assumir obrigações de apoio a outros países em desenvolvimento.",,
