Academia,freq
brazil,35
country,33
climate,29
sector,28
environmental,25
change,25
emission,25
action,23
must,22
energy,21
international,20
national,15
area,15
mitigation,13
global,13
measure,12
plan,12
adaptation,12
brazilian,12
need,12
education,12
impact,12
strategy,11
necessary,11
technology,11
contribution,10
would,10
without,10
public,10
carbon,10
use,10
economic,10
since,9
development,9
reduction,9
also,9
security,9
cooperation,9
year,9
level,9
example,9
new,9
government,8
addition,8
vulnerable,8
resource,8
goal,7
principle,7
question,7
view,7
process,7
future,7
alternative,7
policy,7
effective,7
population,7
target,7
society,7
responsibility,6
state,6
make,6
warming,6
issue,6
deforestation,6
increase,6
consider,6
effort,6
place,6
initiative,6
human,6
different,6
whole,6
land,6
one,6
social,6
economy,6
could,6
low,6
efficient,6
especially,5
knowledge,5
problem,5
legislative,5
believe,5
scale,5
part,5
reduce,5
may,5
political,5
reducing,5
decade,5
lack,5
already,5
high,5
investment,5
water,5
cannot,5
present,5
transport,5
support,5
however,5
environment,5
long,5
study,5
mitigate,5
world,5
civil,5
among,5
decision,5
solar,5
based,5
encourage,4
food,4
event,4
benefit,4
understand,4
lead,4
adapting,4
renewable,4
term,4
greater,4
risk,4
generation,4
balanced,4
mean,4
seek,4
time,4
control,4
effect,4
developed,4
caput,4
objective,4
clean,4
see,4
way,4
group,4
developing,4
common,4
practice,4
sense,4
industrial,4
participation,4
commitment,4
transfer,4
case,4
context,4
patent,4
implementation,4
agreement,4
incentive,4
increasing,4
specific,4
demand,4
large,4
capacity,4
individual,4
concern,4
period,4
historical,4
option,4
region,4
discussed,4
short,4
baseline,3
infrastructure,3
observed,3
growth,3
leadership,3
average,3
adaptive,3
condition,3
subsidy,3
regime,3
loss,3
protection,3
matrix,3
al,3
limit,3
forest,3
another,3
poor,3
generated,3
efficiency,3
review,3
basic,3
co,3
increased,3
redd,3
arid,3
considering,3
extreme,3
semi,3
resilience,3
face,3
intensive,3
even,3
medium,3
per,3
atmosphere,3
something,3
treaty,3
coming,3
natural,3
differentiated,3
information,3
first,3
point,3
mitigating,3
poverty,3
due,3
prepared,3
subject,3
fuel,3
gas,3
biodiversity,3
local,3
together,3
hand,3
system,3
including,3
account,3
life,3
making,3
main,3
worldwide,3
result,3
wind,3
regarding,3
active,3
etc,3
people,3
ecologically,3
topic,3
dynamic,3
establish,3
organization,3
factor,3
others,3
much,3
right,3
possible,3
current,3
position,3
like,3
urban,3
negotiation,3
act,3
adopted,3
made,3
mechanism,3
phenomenon,2
scientific,2
existence,2
crisis,2
rich,2
domain,2
standard,2
done,2
related,2
farming,2
cf,2
compromise,2
multiple,2
family,2
community,2
city,2
precisely,2
alone,2
independent,2
ensure,2
situation,2
therefore,2
technical,2
brics,2
combat,2
posture,2
constant,2
convention,2
sized,2
potential,2
th,2
ets,2
estimated,2
ocean,2
prioritize,2
formal,2
still,2
substantial,2
reality,2
law,2
south,2
serve,2
sequestration,2
scope,2
sometimes,2
paradigm,2
required,2
let,2
criterion,2
going,2
ecological,2
always,2
emerging,2
evaluating,2
scrap,2
globe,2
great,2
implementing,2
everyone,2
money,2
avoid,2
adapted,2
implemented,2
seen,2
argument,2
role,2
today,2
perspective,2
collaboration,2
dimension,2
order,2
market,2
failure,2
conditioning,2
linked,2
greatest,2
caused,2
unacceptable,2
costa,2
data,2
working,2
activity,2
several,2
eg,2
greenhouse,2
maintain,2
industry,2
minority,2
sustainable,2
youth,2
two,2
product,2
concrete,2
successful,2
addressed,2
debate,2
internationally,2
essential,2
last,2
used,2
justify,2
rica,2
beyond,2
revised,2
monitoring,2
fund,2
electric,2
purpose,2
contribute,2
called,2
poorest,2
federal,2
allows,2
tax,2
adopts,2
concentrated,2
reading,2
improvement,2
know,2
consultation,2
zero,2
achieve,2
full,2
tree,2
u,2
continue,2
taking,2
second,2
largest,2
start,2
agriculture,2
basis,2
territory,2
interesting,2
private,2
unit,2
le,2
home,2
awareness,2
presented,2
source,2
creating,2
strong,2
breaking,2
come,2
internal,2
inefficient,2
equipment,2
fact,2
affect,2
well,2
using,2
school,2
health,2
general,2
run,2
taken,2
sustainability,2
rd,2
next,2
ii,2
et,2
competitiveness,2
fossil,2
isolated,2
affected,2
take,2
maritime,2
program,2
never,2
sectoral,2
rainfall,2
elimination,2
fishing,1
tributary,1
clear,1
treated,1
carefully,1
unfccc,1
ethical,1
sphere,1
consensus,1
consequence,1
value,1
dependent,1
nd,1
class,1
wasted,1
adapt,1
fight,1
aquaculture,1
difference,1
acidification,1
closely,1
rigorous,1
triangulation,1
various,1
additional,1
expressed,1
oecd,1
experience,1
emphasized,1
mainly,1
irreversible,1
practically,1
