Private_Sector,freq
brazil,102
country,96
brazilian,87
emission,62
climate,57
market,55
national,51
mitigation,50
energy,48
mechanism,47
important,47
effort,45
action,44
sector,44
economic,44
also,41
must,40
international,39
change,38
use,38
additional,37
commitment,36
resource,36
policy,33
reduction,33
adaptation,33
cdm,33
development,30
contribution,28
term,28
based,26
example,26
instrument,26
mean,25
agreement,25
encourage,24
responsibility,24
economy,24
impact,24
implementation,23
carbon,23
technology,22
fact,20
plan,20
global,20
cost,19
future,19
level,19
question,19
renewable,19
developed,19
flexibility,19
investment,19
understand,18
production,18
new,18
position,17
one,17
always,17
proposal,17
context,16
environmental,16
different,16
way,16
essential,16
credit,16
need,16
recognized,16
year,15
target,15
gas,15
world,14
great,14
therefore,14
including,14
considered,14
well,14
practice,14
project,13
part,13
necessary,13
productive,13
fulfillment,13
case,13
however,13
generation,13
without,13
already,13
growth,13
binding,12
excessive,12
view,12
within,12
historical,12
structure,12
make,12
system,12
society,11
good,11
increased,11
limit,11
low,11
unfccc,11
forest,11
consultation,11
ethanol,11
increase,11
counterpart,11
value,11
competitiveness,11
long,11
greenhouse,11
result,11
order,11
developing,11
appropriate,10
mandatory,10
process,10
capable,10
financial,10
time,10
security,10
support,10
water,10
presented,10
whole,10
specific,10
industry,10
co,10
evolution,10
see,10
common,10
benefit,10
domestic,10
cooperation,10
able,9
planning,9
reduce,9
decision,9
due,9
end,9
contribute,9
transfer,9
activity,9
resilience,9
quality,9
scenario,9
natural,9
metric,9
take,9
industrial,9
believe,9
possible,9
current,9
principle,9
advantage,9
source,9
maintain,9
concern,9
social,9
differentiated,9
capacity,9
type,8
government,8
making,8
generate,8
local,8
degree,8
especially,8
relation,8
adapt,8
period,8
potential,8
innovation,8
seen,8
allows,8
made,8
matrix,8
main,8
logic,8
related,8
consider,8
point,8
etc,8
best,8
food,8
scope,8
present,7
knowledge,7
place,7
birth,7
area,7
voluntary,7
mainly,7
avoid,7
definition,7
even,7
measure,7
regime,7
life,7
block,7
promote,7
comment,7
rate,7
le,7
condition,7
include,7
addition,7
fundamental,7
past,7
balanced,7
show,7
topic,7
family,7
population,7
objective,7
product,7
monitoring,7
previous,7
multilateral,7
effective,7
substantially,7
tree,7
political,6
right,6
agriculture,6
submission,6
copenhagen,6
analogous,6
intensity,6
electricity,6
originally,6
mentioned,6
legally,6
integration,6
ensure,6
clear,6
becomes,6
negotiating,6
strategy,6
adapting,6
increasing,6
distribution,6
justified,6
duly,6
land,6
routine,6
would,6
history,6
return,6
opportunity,6
infrastructure,6
go,6
plant,6
miss,6
according,6
still,6
regional,6
restriction,6
challenge,6
implement,6
high,6
alternative,6
initiative,6
appendix,6
computable,6
large,6
internationally,6
better,6
fulfill,6
general,6
chain,6
exist,6
variable,6
recommended,5
taking,5
encouraging,5
account,5
negotiation,5
celsius,5
finance,5
gtcoeq,5
forestry,5
easier,5
major,5
consumption,5
hydroelectric,5
guarantee,5
urban,5
city,5
needed,5
lack,5
health,5
climatic,5
tax,5
implementing,5
considering,5
fund,5
construction,5
community,5
demand,5
fuel,5
remember,5
supply,5
priority,5
permanent,5
applies,5
access,5
wood,5
creating,5
public,5
regarding,5
management,5
run,5
goal,5
complementary,5
despite,5
far,5
warming,5
focus,5
used,5
could,5
marginal,5
significant,5
efficiency,5
reducing,5
solution,5
per,5
form,5
gain,5
expansion,4
maintenance,4
citizen,4
may,4
