Public_Sector,freq
country,54
climate,54
change,51
emission,46
action,40
brazil,38
adaptation,34
must,29
resource,27
reduction,25
period,25
global,25
national,24
mitigation,23
plan,22
sector,22
development,19
gas,19
year,19
greenhouse,19
objective,19
cooperation,18
target,18
new,18
commitment,18
energy,18
unfccc,17
contribution,17
term,16
policy,16
time,16
planet,16
result,15
economy,15
area,15
one,15
important,14
degree,14
goal,14
effort,13
different,12
impact,12
necessary,12
local,12
economic,12
well,11
level,11
also,11
capacity,11
reducing,11
therefore,11
process,10
brazilian,10
strategy,10
increase,10
possible,10
resilience,9
social,9
environmental,9
support,9
limit,9
need,9
celsius,9
warming,9
much,9
determined,9
government,9
negotiation,9
vulnerability,9
even,9
human,8
always,8
due,8
reduce,8
carbon,8
already,8
way,8
best,8
health,8
international,8
responsibility,8
activity,8
order,8
nation,8
surface,8
developed,8
mean,8
within,8
effect,8
could,7
path,7
based,7
forest,7
nationally,7
deforestation,7
consider,7
would,7
water,7
however,7
population,7
still,7
significant,7
solar,7
monitoring,7
efficiency,7
waste,7
south,6
technology,6
developing,6
since,6
large,6
environment,6
loss,6
opportunity,6
use,6
possibility,6
post,6
measure,6
extreme,6
cost,6
others,6
le,6
ipcc,6
assessment,6
etc,6
regional,6
temperature,6
position,6
iclei,6
investment,6
coeq,6
question,6
fund,6
definition,5
depend,5
demand,5
people,5
earth,5
among,5
set,5
made,5
collective,5
place,5
renewable,5
increasing,5
according,5
scope,5
observatory,5
considers,5
main,5
relation,5
recommends,5
land,5
net,5
evaluation,5
considering,5
history,5
implementation,5
sectoral,5
gt,5
believe,5
especially,5
issue,5
beginning,5
considered,5
future,5
increased,5
report,5
scientific,5
without,4
agriculture,4
cover,4
management,4
knowledge,4
ecosystem,4
urban,4
contribute,4
technological,4
like,4
community,4
include,4
decision,4
reflected,4
want,4
system,4
humanity,4
finite,4
subject,4
achieve,4
generation,4
mechanism,4
heating,4
currently,4
cultural,4
response,4
changed,4
specie,4
source,4
emerging,4
life,4
able,4
poverty,4
long,4
indicator,4
horizon,4
essential,4
absolute,4
direct,4
fact,4
perhaps,4
example,4
addition,4
program,4
nature,4
previous,4
although,4
city,4
make,4
potential,4
amazon,4
present,4
hand,3
sectorial,3
average,3
necessarily,3
radiation,3
dioxide,3
go,3
historical,3
gtcoeq,3
science,3
progress,3
charter,3
analyzes,3
first,3
element,3
deal,3
see,3
atmosphere,3
certain,3
debate,3
natural,3
get,3
group,3
financial,3
federal,3
indicate,3
adequate,3
require,3
become,3
bring,3
answer,3
appropriate,3
pollution,3
agreement,3
defining,3
disaster,3
relevant,3
training,3
face,3
concern,3
extent,3
equitable,3
diversity,3
product,3
account,3
create,3
good,3
logic,3
coastal,3
insertion,3
part,3
using,3
event,3
critical,3
political,3
education,3
eventually,3
may,3
island,3
worrying,3
external,3
defined,3
take,3
durban,3
low,3
execution,3
coming,3
coordinated,3
follow,3
th,3
co,3
lower,3
better,3
security,3
largest,3
investing,3
emitter,3
specific,3
limiting,3
effective,3
caused,3
clean,3
recycling,3
approach,3
improve,3
construction,3
industrial,3
related,3
benefit,3
reduced,3
primary,3
sense,3
feasible,3
current,3
included,3
sustainable,3
short,3
prevent,3
progressive,3
vulnerable,2
toxic,2
needed,2
observed,2
behind,2
perpetual,2
public,2
existing,2
thermoelectric,2
view,2
plant,2
coherent,2
adapted,2
decreasing,2
initiative,2
course,2
gravity,2
integration,2
find,2
whoever,2
door,2
required,2
obtain,2
posed,2
evolution,2
excuse,2
unfounded,2
unreasonable,2
show,2
material,2
survived,2
stop,2
screen,2
day,2
consequence,2
enabling,2
recognize,2
form,2
cop,2
ready,2
getting,2
preserved,2
scarce,2
vital,2
empower,2
immense,2
extensive,2
world,2
territorially,2
japan,2
identification,2
requires,2
platform,2
condition,2
adapting,2
conditioned,2
assistance,2
adaptive,2
cp,2
combined,2
surveillance,2
guideline,2
promotion,2
recommendation,2
constructed,2
consultation,2
register,2
importance,2
quantification,2
linear,2
evident,2
occurs,2
survive,2
consumption,2
index,2
per,2
improving,2
et,2
al,2
indicating,2
proposed,2
poorest,2
germany,2
family,2
solely,2
farming,2
recognized,2
intensified,2
green,2
transfer,2
cooperate,2
recommended,2
existence,2
quality,2
inhabitant,2
million,2
thus,2
focused,2
intellectual,2
often,2
advance,2
tertiary,2
regardless,2
bicycle,2
ditto,2
electric,2
modality,2
panel,2
leadership,2
metric,2
intended,2
major,2
maximum,2
help,2
exclusively,2
vegetation,2
stage,2
achieved,2
eliminate,2
regarding,2
adjusted,2
methodology,2
reach,2
promote,2
coordination,2
unfortunately,2
block,2
develops,2
civilization,2
appear,2
mutual,2
undergo,2
challenge,2
try,2
impediment,2
high,2
amount,2
allocated,2
budget,2
finance,2
food,2
starting,2
making,2
capable,2
share,2
correspond,2
distribution,2
every,2
wide,2
includes,2
define,2
ignored,2
presupposes,2
proposal,2
resilient,2
elaboration,2
subsidizes,2
done,2
campaign,2
movement,2
planning,2
number,2
accelerated,2
negative,2
culture,2
latest,2
light,2
revision,2
allows,2
option,2
intermediate,2
setting,2
december,2
january,2
exceeding,2
desert,2
associated,2
higher,2
diverse,2
taking,2
inaction,2
two,2
displacement,2
room,2
commit,2
prevention,2
follows,2
mainly,2
work,2
despite,2
think,2
biodiversity,2
rainfall,2
regime,2
greater,2
ribeiro,2
decade,2
reached,2
eventual,2
sea,2
elimination,2
discussion,2
message,2
practice,2
responsible,2
purpose,2
perspective,2
trajectory,2
maintenance,2
ensure,2
native,2
happen,2
r,2
great,2
alternative,2
peak,2
whether,2
