Third_Sector,freq
emission,388
country,281
climate,253
brazil,225
adaptation,195
change,183
action,168
reduction,166
national,162
must,156
policy,139
plan,138
resource,117
mitigation,115
year,112
target,107
sector,106
global,103
impact,102
period,102
brazilian,98
development,97
energy,86
economy,83
reduce,81
gas,81
greenhouse,79
new,78
international,75
social,74
commitment,73
unfccc,73
contribution,70
growth,70
also,69
goal,66
based,66
important,64
cooperation,63
necessary,63
area,62
different,62
objective,61
forest,60
population,59
economic,59
limit,58
time,58
effort,57
environmental,55
mechanism,55
capacity,54
example,54
responsibility,53
therefore,53
term,53
deforestation,53
reducing,52
order,50
addition,50
process,50
degree,50
warming,48
result,47
consider,47
government,47
level,46
investment,45
within,45
need,45
way,45
vulnerability,44
measure,44
nationally,43
public,43
technology,43
future,43
resilience,43
agreement,43
market,42
one,42
well,41
celsius,40
already,40
system,40
developing,39
carbon,39
effect,38
strategy,37
debate,37
use,37
possible,36
long,36
gt,36
however,35
implementation,35
mean,35
world,35
determined,34
fund,34
increase,34
see,34
community,34
support,34
ipcc,33
significant,33
post,33
coeq,33
etc,32
region,32
work,32
since,32
approach,32
le,31
per,31
part,31
cost,31
especially,31
net,31
security,30
still,30
scenario,30
according,30
negotiation,29
loss,29
initiative,29
increasing,29
south,29
could,29
definition,28
even,28
would,28
due,28
main,27
much,27
nation,27
efficiency,27
question,27
developed,27
position,26
source,26
prevention,26
current,26
among,26
agriculture,26
biodiversity,25
relation,25
land,25
decision,25
made,25
horizon,25
scope,24
share,24
presented,24
understand,24
group,24
related,24
report,23
local,23
making,23
amazon,23
case,23
http,23
view,23
expected,23
caput,22
achieve,22
contribute,22
offset,22
essential,22
path,22
make,22
sustainable,22
monitoring,22
major,22
historical,22
large,22
low,21
regional,21
human,21
water,21
effective,21
poverty,21
society,21
set,21
participation,21
practice,21
decade,21
whole,21
opportunity,20
control,20
education,20
condition,20
indicator,20
ecosystem,20
hand,20
ambitious,19
transition,19
assessment,19
organization,19
defined,19
sense,19
concern,19
appropriate,19
br,19
option,19
clean,19
proposal,19
pattern,18
role,18
elaboration,18
cause,18
recent,18
risk,18
increased,18
th,18
best,18
bank,18
activity,18
redd,18
potential,18
demand,18
ghg,18
recommends,18
inequality,18
great,18
dynamic,17
life,17
benefit,17
lower,17
generation,17
problem,17
reference,17
issue,17
sectoral,17
org,17
environment,17
renewable,17
considers,17
service,17
transfer,17
mainly,17
include,16
possibility,16
food,16
average,16
adequate,16
vulnerable,16
define,16
end,16
waste,16
planet,16
study,16
emitter,16
available,16
maximum,16
first,16
analyzes,16
specific,16
whether,16
context,16
absolute,16
able,15
includes,15
people,15
principle,15
million,15
including,15
may,15
cover,15
considering,15
priority,15
alternative,15
face,15
gdp,15
gtcoeq,15
proposed,15
job,15
emerging,15
convention,15
peak,14
observatory,14
beginning,14
green,14
progress,14
transport,14
limiting,14
r,14
caused,14
urban,14
elimination,14
financing,14
health,14
rate,14
application,14
training,14
sectorial,14
adapt,14
defining,14
inhabitant,14
credit,14
positive,14
agricultural,14
mobility,14
natural,14
program,14
instrument,14
total,14
agenda,13
evaluation,13
