comments_setor empresarial,freq
emissõ,3
economia,3
aquecimento,3
prazo,3
ano,2
impacto,2
melhor,2
população,2
curto,2
paí,2
processo,2
politico,2
vista,2
feita,2
meta,2
futuro,2
acordo,2
toda,2
ser,2
mitigação,2
especialista,1
econometrica,1
deter,1
calcada,1
fim,1
naco,1
pratica,1
aplica,1
comum,1
qualquer,1
tanto,1
segmento,1
energético,1
transformação,1
abordagem,1
teto,1
abdicacao,1
ambient,1
cultur,1
ja,1
social,1
acordado,1
economico,1
quanto,1
vantajoso,1
longo,1
entendimento,1
sentido,1
maioria,1
ness,1
receita,1
ponto,1
redução,1
uso,1
estabelecido,1
10,1
revisão,1
ajust,1
prevendo,1
obrigatoriedad,1
continuidad,1
desta,1
açõ,1
desenvolvimento,1
precisamo,1
melhorar,1
idh,1
devemo,1
ter,1
perder,1
compromisso,1
futura,1
5,1
deva,1
solo,1
acredito,1
pode,1
50,1
prol,1
disto,1
benéfico,1
dá,1
pra,1
substituir,1
atuai,1
emissor,1
limpador,1
falta,1
tecnologia,1
relação,1
duração,1
eventu,1
novo,1
sacrificar,1
entend,1
proximo,1
empregado,1
benefício,1
adotar,1
tai,1
medida,1
cabe,1
lembrar,1
vivemo,1
renda,1
média,1
ond,1
boa,1
part,1
ainda,1
pobr,1
portanto,1
compromet,1
crescimento,1
custo,1
séria,1
anális,1
nenhum,1
buscando,1
apoiando,1
recurso,1
nacionai,1
brasil,1
deve,1
participar,1
carbono,1
nenhuma,1
exist,1
comprovação,1
significativo,1
clima,1
conseguiss,1
comprovar,1
tal,1
política,1
ambientalista,1
significa,1
conter,1
vicioso,1
emisso,1
panorama,1
reduziria,1
margem,1
manobra,1
civilizacao,1
tambem,1
criando,1
adaptar,1
dess,1
modo,1
limitaçõ,1
todo,1
esforco,1
devem,1
circulo,1
gee,1
colocar,1
cenario,1
dessa,1
pessoa,1
jogo,1
nome,1
causa,1
hipótes,1
incerta,1
superior,1
retroalimentação,1
2,1
grau,1
carrega,1
consigo,1
risco,1
desencadear,1
biogeoquimico,1
geraçõ,1
