criteria_assumptions_principles_terceiro setor,freq
brasil,4
país,3
discurso,2
redução,2
meta,2
internacion,2
relação,2
acordo,2
entretanto,2
acredito,1
economicament,1
passar,1
baixo,1
adotar,1
base,1
economia,1
destacar,1
pré,1
potenci,1
enorm,1
sal,1
desenvolvimento,1
explorar,1
amazonia,1
hidrelétrica,1
dezena,1
construir,1
carbono,1
sustentável,1
agricultura,1
eficient,1
contribuição,1
consideração,1
levar,1
estratégico,1
planejamento,1
advém,1
critério,1
ambiciosa,1
adoção,1
meio,1
ambicioso,1
global,1
impulsionar,1
deve,1
entrav,1
oportunidad,1
floresta,1
olhar,1
desmatamento,1
plano,1
assum,1
emissão,1
própria,1
ser,1
adaptação,1
mitigação,1
atividad,1
implementar,1
emissõ,1
reduzir,1
capacidad,1
assumir,1
enquanto,1
mudar,1
hora,1
i,1
anexo,1
diferenciada,1
histórica,1
responsabilidad,1
possua,1
proativo,1
aguardar,1
posicionamento,1
demai,1
interna,1
política,1
unificar,1
precisa,1
apoio,1
dest,1
necessitam,1
outro,1
centena,1
vinda,1
bem,1
internacionai,1
ajuda,1
compreendo,1
novament,1
recurso,1
font,1
novo,1
